City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Lerwick,GB,2021-02-01 13:57:40,60.1545,-1.1494,35.6,80,20,9.22,few clouds
105,Kadaya,RU,2021-02-01 14:02:08,50.9327,119.2911,-31.56,80,0,3.18,clear sky
106,Ikon-Khalk,RU,2021-02-01 14:02:08,44.3051,41.9142,44.76,65,100,4.34,overcast clouds
107,Cabo San Lucas,MX,2021-02-01 13:55:18,22.8909,-109.9124,62.6,72,20,4.14,few clouds
108,Jamestown,US,2021-02-01 13:55:57,42.097,-79.2353,25.0,93,90,11.5,light snow
109,Santa Catalina,PH,2021-02-01 14:02:09,9.3337,122.8637,78.13,80,100,8.66,overcast clouds
110,Dikson,RU,2021-02-01 13:55:17,73.5069,80.5464,-22.83,84,78,10.36,broken clouds
111,Saskylakh,RU,2021-02-01 13:55:44,71.9167,114.0833,-31.86,83,63,7.34,broken clouds
112,Port Alfred,ZA,2021-02-01 13:55:11,-33.5906,26.891,73.0,63,96,1.99,overcast clouds
113,Chokurdakh,RU,2021-02-01 13:55:30,70.6333,147.9167,-13.65,88,100,12.41,overcast clouds
114,Rocha,UY,2021-02-01 13:55:41,-34.4833,-54.3333,72.27,83,90,12.57,overcast clouds
115,Atuona,PF,2021-02-01 13:55:16,-9.8,-139.0333,78.1,76,2,17.05,clear sky
116,Barguzin,RU,2021-02-01 14:02:10,53.6167,109.6167,-22.02,74,67,0.67,broken clouds
117,Hobart,AU,2021-02-01 13:52:51,-42.8794,147.3294,57.2,77,3,5.75,clear sky
118,Kjopsvik,NO,2021-02-01 14:02:11,68.097,16.3742,24.01,93,40,2.3,scattered clouds
119,Hilo,US,2021-02-01 13:51:26,19.7297,-155.09,62.6,77,1,8.05,clear sky
120,Itarema,BR,2021-02-01 13:55:19,-2.9248,-39.9167,87.96,58,84,17.18,broken clouds
121,Yingcheng,CN,2021-02-01 14:02:12,30.95,113.55,46.4,93,0,4.47,mist
122,Qaqortoq,GL,2021-02-01 14:02:12,60.7167,-46.0333,32.0,59,75,3.44,broken clouds
123,Souillac,MU,2021-02-01 13:55:41,-20.5167,57.5167,84.2,79,75,13.8,light rain
124,Chuy,UY,2021-02-01 13:57:18,-33.6971,-53.4616,74.23,85,66,12.24,light rain
125,Belyy Yar,RU,2021-02-01 14:02:12,53.6039,91.3903,-11.2,77,100,2.24,smoke
126,Saint-Pierre,RE,2021-02-01 13:55:49,-21.3393,55.4781,86.0,66,0,27.63,clear sky
127,Sao Felix Do Xingu,BR,2021-02-01 13:53:01,-6.6447,-51.995,87.33,63,36,1.32,scattered clouds
128,Severo-Kurilsk,RU,2021-02-01 13:56:54,50.6789,156.125,19.83,93,95,35.43,light snow
129,Boueni,YT,2021-02-01 14:02:13,-12.9025,45.0761,87.8,66,0,5.75,clear sky
130,Port Hardy,CA,2021-02-01 13:55:44,50.6996,-127.4199,42.8,100,75,3.44,light rain
131,Gisborne,NZ,2021-02-01 14:02:14,-38.6533,178.0042,57.0,88,100,1.99,overcast clouds
132,Nhulunbuy,AU,2021-02-01 14:02:14,-12.2333,136.7667,77.0,94,90,8.05,overcast clouds
133,Longyearbyen,SJ,2021-02-01 13:57:01,78.2186,15.6401,14.0,57,75,3.44,broken clouds
134,Uvat,RU,2021-02-01 14:02:14,59.1433,68.8953,8.67,95,72,10.2,broken clouds
135,Ilulissat,GL,2021-02-01 13:55:32,69.2167,-51.1,6.8,72,75,4.61,light snow
136,Deputatskiy,RU,2021-02-01 14:02:15,69.3,139.9,-28.64,87,100,2.3,overcast clouds
137,Ust-Nera,RU,2021-02-01 14:02:15,64.5667,143.2,-33.16,73,97,6.69,overcast clouds
138,Zhigansk,RU,2021-02-01 13:56:21,66.7697,123.3711,-49.5,77,52,2.26,broken clouds
139,Pogranichnyy,RU,2021-02-01 14:02:16,44.4064,131.3769,-4.49,82,13,9.6,few clouds
140,Hithadhoo,MV,2021-02-01 13:55:59,-0.6,73.0833,83.26,73,10,8.19,clear sky
141,Tuktoyaktuk,CA,2021-02-01 13:56:11,69.4541,-133.0374,-16.2,88,100,10.18,overcast clouds
142,Jiexiu,CN,2021-02-01 14:02:16,37.0244,111.9125,27.84,59,0,6.33,clear sky
143,Codrington,AU,2021-02-01 13:55:41,-38.2667,141.9667,55.98,86,6,7.58,clear sky
144,Rzhaksa,RU,2021-02-01 14:02:16,52.1338,42.0264,25.79,99,100,8.37,snow
145,Bereda,ES,2021-02-01 13:55:22,43.2686,-7.5406,54.0,96,100,10.0,overcast clouds
146,Pevek,RU,2021-02-01 14:02:17,69.7008,170.3133,1.26,84,100,3.62,light snow
147,Miri,MY,2021-02-01 13:57:43,4.4148,114.0089,77.0,100,40,3.44,moderate rain
148,Touros,BR,2021-02-01 13:57:09,-5.1989,-35.4608,87.8,58,75,18.41,broken clouds
149,Qaanaaq,GL,2021-02-01 13:55:48,77.484,-69.3632,-10.64,82,69,3.89,broken clouds
150,Ovalle,CL,2021-02-01 14:02:18,-30.5983,-71.2003,72.25,56,8,4.5,clear sky
151,Coahuayana,MX,2021-02-01 13:55:53,18.7333,-103.6833,69.8,64,1,3.02,clear sky
152,Padang,ID,2021-02-01 13:56:48,-0.9492,100.3543,75.2,94,40,3.49,scattered clouds
153,Axim,GH,2021-02-01 13:56:21,4.8699,-2.2405,83.82,72,64,10.0,light rain
154,Avera,US,2021-02-01 13:55:37,33.194,-82.5271,42.8,81,75,14.97,broken clouds
155,Half Moon Bay,US,2021-02-01 13:56:10,37.4636,-122.4286,53.01,93,20,6.91,few clouds
156,Eureka,US,2021-02-01 13:55:55,40.8021,-124.1637,57.2,44,1,10.36,clear sky
157,Anadyr,RU,2021-02-01 13:56:25,64.75,177.4833,15.8,86,90,69.35,snow
158,Barrow,US,2021-02-01 13:51:47,71.2906,-156.7887,-16.6,83,1,10.36,clear sky
159,Luanda,AO,2021-02-01 13:57:13,-8.8368,13.2343,89.6,58,40,12.66,scattered clouds
160,Okhotsk,RU,2021-02-01 13:55:40,59.3833,143.3,-20.51,77,48,15.88,scattered clouds
161,Berlevag,NO,2021-02-01 13:55:20,70.8578,29.0864,30.2,74,75,19.57,light snow
162,Victoria,HK,2021-02-01 13:55:28,22.2855,114.1577,69.01,81,87,7.29,overcast clouds
163,Heihe,CN,2021-02-01 14:02:20,50.2441,127.4902,-23.8,57,0,4.47,clear sky
164,Yellowknife,CA,2021-02-01 13:52:56,62.456,-114.3525,-5.01,84,90,4.61,light snow
165,Husavik,IS,2021-02-01 13:56:13,66.0449,-17.3389,10.4,61,0,8.05,clear sky
166,Los Llanos De Aridane,ES,2021-02-01 13:56:48,28.6585,-17.9182,71.6,68,0,11.5,clear sky
167,Marawi,PH,2021-02-01 13:55:25,7.9986,124.2928,75.99,91,100,5.01,overcast clouds
168,Matara,LK,2021-02-01 13:56:23,5.9485,80.5353,77.41,88,0,5.68,clear sky
169,Kodiak,US,2021-02-01 13:55:07,57.79,-152.4072,28.4,64,1,6.91,clear sky
170,Biak,ID,2021-02-01 14:02:21,-0.9131,122.8766,77.25,81,93,4.18,overcast clouds
171,Launceston,AU,2021-02-01 14:02:21,-41.45,147.1667,57.2,62,35,10.36,scattered clouds
172,Kruisfontein,ZA,2021-02-01 13:55:53,-34.0033,24.7314,71.01,50,100,7.0,overcast clouds
173,Kiruna,SE,2021-02-01 14:02:21,67.8557,20.2251,10.4,92,20,3.44,few clouds
174,Chhatak,BD,2021-02-01 14:02:22,25.0333,91.6667,61.81,47,0,3.85,clear sky
175,Jiangdu,CN,2021-02-01 14:02:22,32.4286,119.5574,45.0,88,2,10.07,clear sky
176,Thompson,CA,2021-02-01 13:55:57,55.7435,-97.8558,6.8,85,90,2.3,light snow
177,Champerico,GT,2021-02-01 14:02:22,14.3,-91.9167,71.6,73,0,1.28,clear sky
178,Itoman,JP,2021-02-01 14:02:23,26.1247,127.6694,66.2,72,20,4.61,few clouds
179,Teguldet,RU,2021-02-01 14:02:23,57.3064,88.1667,-12.24,89,59,4.12,broken clouds
180,Vilhena,BR,2021-02-01 14:02:23,-12.7406,-60.1458,78.8,83,20,9.22,few clouds
181,Chimbarongo,CL,2021-02-01 14:02:23,-34.7,-71.05,69.01,77,75,2.3,haze
182,Port Lincoln,AU,2021-02-01 14:02:23,-34.7333,135.8667,60.48,79,0,13.15,clear sky
183,Upernavik,GL,2021-02-01 13:55:34,72.7868,-56.1549,3.74,93,100,5.53,overcast clouds
184,Hranice,CZ,2021-02-01 14:02:24,49.548,17.7347,32.0,49,100,4.61,overcast clouds
185,Wapi Pathum,TH,2021-02-01 14:02:24,15.8452,103.3768,79.0,99,16,5.21,few clouds
186,Praya,CV,2021-02-01 13:57:53,14.9215,-23.5087,78.8,53,0,20.71,clear sky
187,Constitucion,CL,2021-02-01 13:56:34,-35.3333,-72.4167,66.42,65,0,4.85,clear sky
188,Koson,UZ,2021-02-01 14:02:25,39.0375,65.585,57.2,62,0,6.91,clear sky
189,Chara,RU,2021-02-01 13:55:54,56.9064,118.2631,-34.56,70,98,0.63,overcast clouds
190,Ancud,CL,2021-02-01 13:55:09,-41.8697,-73.8203,57.99,77,0,9.22,clear sky
191,Kirakira,SB,2021-02-01 13:55:05,-10.4544,161.9205,81.34,82,100,22.3,overcast clouds
192,Avarua,CK,2021-02-01 13:55:31,-21.2078,-159.775,73.4,100,40,2.3,scattered clouds
193,Bowen,AU,2021-02-01 14:02:26,-20.0167,148.2333,75.2,83,75,6.91,broken clouds
194,Yugorsk,RU,2021-02-01 14:02:27,61.3133,63.3319,22.64,97,100,11.36,overcast clouds
195,Ahipara,NZ,2021-02-01 13:55:29,-35.1667,173.1667,57.97,88,0,3.58,clear sky
196,Okato,NZ,2021-02-01 14:02:27,-39.2,173.8833,59.0,44,0,11.01,clear sky
197,Macklin,CA,2021-02-01 14:02:28,52.3334,-109.9348,21.2,93,100,2.3,overcast clouds
198,Pontes E Lacerda,BR,2021-02-01 13:59:49,-15.2261,-59.3353,86.92,61,68,3.62,broken clouds
199,Sassandra,CI,2021-02-01 14:02:28,4.95,-6.0833,86.14,68,70,7.0,light rain
200,Fairmont,US,2021-02-01 14:02:29,39.4851,-80.1426,32.0,96,100,2.42,light snow
201,Pravia,ES,2021-02-01 14:02:29,43.4906,-6.1508,68.0,59,40,16.11,scattered clouds
202,Wahiawa,US,2021-02-01 14:02:29,21.5028,-158.0236,71.01,94,40,5.75,scattered clouds
