City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Todos Santos,MX,2021-01-28 00:18:40,23.45,-110.2167,69.01,71,80,7.0
105,Stornoway,GB,2021-01-28 00:09:50,58.2093,-6.3865,37.4,70,20,12.66
106,Coahuayana,MX,2021-01-28 00:10:14,18.7333,-103.6833,75.2,73,20,4.92
107,Norman Wells,CA,2021-01-28 00:10:15,65.282,-126.8329,-20.2,76,75,4.61
108,Saint-Joseph,RE,2021-01-28 00:10:17,-21.3667,55.6167,78.8,61,0,6.91
109,Hithadhoo,MV,2021-01-28 00:09:24,-0.6,73.0833,81.72,77,98,16.51
110,Buala,SB,2021-01-28 00:10:39,-8.145,159.5921,86.29,68,97,12.57
111,Tasiilaq,GL,2021-01-28 00:09:29,65.6145,-37.6368,21.2,42,90,21.85
112,Dunedin,NZ,2021-01-28 00:11:38,-45.8742,170.5036,55.0,66,42,35.01
113,Oranjemund,NA,2021-01-28 00:18:42,-28.55,16.4333,61.5,81,1,17.65
114,Bairiki,KI,2021-01-28 00:18:42,1.3292,172.9752,86.0,70,20,11.5
115,Elko,US,2021-01-28 00:17:59,41.0002,-115.5012,36.0,72,100,11.01
116,Fairbanks,US,2021-01-28 00:05:36,64.8378,-147.7164,-16.6,76,75,5.75
117,Provideniya,RU,2021-01-28 00:09:21,64.3833,-173.3,8.6,92,90,22.37
118,Vigrestad,NO,2021-01-28 00:18:42,58.5667,5.7,17.6,93,0,7.18
119,Hay River,CA,2021-01-28 00:15:14,60.8156,-115.7999,-11.2,77,75,3.44
120,Korla,CN,2021-01-28 00:11:35,41.7597,86.1469,18.81,84,0,1.9
121,Da Lat,VN,2021-01-28 00:14:48,11.9465,108.4419,55.04,76,83,2.55
122,Sorland,NO,2021-01-28 00:10:28,67.667,12.6934,32.68,89,3,16.33
123,Micheweni,TZ,2021-01-28 00:18:44,-4.9667,39.8333,79.34,82,18,9.82
124,Ossora,RU,2021-01-28 00:18:44,59.2353,163.0719,0.19,85,94,6.38
125,Wanning,CN,2021-01-28 00:18:44,18.8003,110.3967,66.87,86,51,10.0
126,Nikolskoye,RU,2021-01-28 00:09:27,59.7035,30.7861,32.0,93,90,2.24
127,Noyabrsk,RU,2021-01-28 00:18:44,63.1994,75.4507,-33.32,81,71,3.31
128,Mersing,MY,2021-01-28 00:17:16,2.4312,103.8405,78.8,89,40,10.36
129,Sovetskaya,RU,2021-01-28 00:18:45,44.7769,41.1722,41.22,67,92,8.63
130,Ilulissat,GL,2021-01-28 00:11:14,69.2167,-51.1,8.6,43,0,4.61
131,Yellowknife,CA,2021-01-28 00:09:24,62.456,-114.3525,-9.0,77,90,4.61
132,Dickinson,US,2021-01-28 00:18:25,29.4608,-95.0513,62.01,29,1,10.36
133,Bhigvan,IN,2021-01-28 00:18:46,18.3167,74.7667,68.81,39,0,5.08
134,Leningradskiy,RU,2021-01-28 00:09:46,69.3833,178.4167,-16.69,87,100,3.65
135,Gabu,GW,2021-01-28 00:18:47,12.2833,-14.2167,67.62,60,0,4.59
136,Bengkulu,ID,2021-01-28 00:10:07,-3.8004,102.2655,76.03,88,100,5.06
137,Bluff,NZ,2021-01-28 00:09:25,-46.6,168.3333,51.01,80,99,18.01
138,Los Llanos De Aridane,ES,2021-01-28 00:09:41,28.6585,-17.9182,64.99,88,0,8.05
139,Somerton,US,2021-01-28 00:18:48,32.5964,-114.7097,62.6,31,20,4.61
140,Saint-Philippe,RE,2021-01-28 00:09:37,-21.3585,55.7679,78.8,61,0,6.91
141,Rocha,UY,2021-01-28 00:16:26,-34.4833,-54.3333,64.63,87,0,6.71
142,Antofagasta,CL,2021-01-28 00:18:49,-23.65,-70.4,66.2,82,75,12.66
143,Saskylakh,RU,2021-01-28 00:05:25,71.9167,114.0833,-41.66,80,94,2.53
144,Nueva Loja,EC,2021-01-28 00:18:49,0.0847,-76.8828,73.22,93,71,1.97
145,Moose Factory,CA,2021-01-28 00:18:49,51.2585,-80.6094,1.4,85,90,8.05
146,Kharan,PK,2021-01-28 00:18:49,28.5833,65.4167,45.91,39,0,7.38
147,Nanakuli,US,2021-01-28 00:18:50,21.3906,-158.1547,84.2,51,75,10.36
148,Carnarvon,AU,2021-01-28 00:09:29,-24.8667,113.6333,75.2,57,0,21.85
149,Comodoro Rivadavia,AR,2021-01-28 00:09:14,-45.8667,-67.5,62.6,59,40,5.75
150,Lebach,DE,2021-01-28 00:18:51,49.4,6.9167,37.99,96,100,3.8
151,Lompoc,US,2021-01-28 00:09:48,34.6391,-120.4579,53.6,87,90,16.11
152,Vardo,NO,2021-01-28 00:18:52,70.3705,31.1107,21.2,86,90,23.02
153,Ferme-Neuve,CA,2021-01-28 00:18:52,46.7001,-75.4493,19.4,79,97,8.05
154,Busselton,AU,2021-01-28 00:09:40,-33.65,115.3333,64.0,77,8,11.72
155,Pauini,BR,2021-01-28 00:18:52,-7.7136,-66.9764,74.86,94,78,2.3
156,Oktyabrskoye,RU,2021-01-28 00:18:53,43.0645,44.7417,24.8,100,48,4.47
157,Severo-Kurilsk,RU,2021-01-28 00:09:41,50.6789,156.125,29.17,97,100,21.83
158,Riyadh,SA,2021-01-28 00:17:31,24.6877,46.7219,62.6,25,0,9.22
159,Lebu,CL,2021-01-28 00:10:08,-37.6167,-73.65,58.26,81,97,9.28
160,Narsaq,GL,2021-01-28 00:09:42,60.9167,-46.05,37.4,35,75,31.07
161,Georgetown,MY,2021-01-28 00:10:20,5.4112,100.3354,78.01,88,20,4.5
162,Vyatskiye Polyany,RU,2021-01-28 00:18:54,56.226,51.0656,22.24,96,100,11.86
163,Tuatapere,NZ,2021-01-28 00:18:54,-46.1333,167.6833,50.0,83,100,15.99
164,Kupang,ID,2021-01-28 00:18:54,-10.1667,123.5833,82.4,89,75,20.71
165,Killybegs,IE,2021-01-28 00:18:55,54.6333,-8.45,51.01,96,100,5.99
166,Burgeo,CA,2021-01-28 00:11:37,47.6167,-57.6152,27.05,93,42,7.99
167,Bakaly,RU,2021-01-28 00:18:55,55.1789,53.8028,21.25,94,100,15.82
168,Jacobabad,PK,2021-01-28 00:18:55,28.281,68.4388,52.02,37,0,1.83
169,Akdepe,TM,2021-01-28 00:18:55,42.0551,59.3788,19.4,86,0,4.61
170,Provost,CA,2021-01-28 00:18:55,52.3501,-110.2683,1.4,92,100,11.5
171,Esna,EG,2021-01-28 00:18:56,25.2934,32.554,53.6,40,0,8.05
172,Padang,ID,2021-01-28 00:10:00,-0.9492,100.3543,71.6,94,75,2.3
173,Neustrelitz,DE,2021-01-28 00:18:56,53.3667,13.0833,35.01,83,97,3.0
174,Teya,RU,2021-01-28 00:18:56,60.3778,92.6267,-29.54,81,100,1.99
175,Byron Bay,AU,2021-01-28 00:18:57,-28.65,153.6167,80.6,65,40,12.66
176,Sanming,CN,2021-01-28 00:18:57,26.2486,117.6186,52.97,77,87,3.29
177,Sembakung,ID,2021-01-28 00:18:57,3.8167,117.25,78.8,89,40,3.44
178,Numaligarh,IN,2021-01-28 00:18:57,26.6333,93.75,56.39,73,0,1.97
179,Voskresenskoye,RU,2021-01-28 00:18:57,56.8381,45.4317,34.5,98,100,9.04
180,Twentynine Palms,US,2021-01-28 00:18:58,34.1356,-116.0542,53.6,40,20,13.8
181,Kodiak,US,2021-01-28 00:09:49,57.79,-152.4072,33.8,75,90,4.61
182,Fortuna,US,2021-01-28 00:06:21,40.5982,-124.1573,48.0,87,75,14.97
183,Hobart,AU,2021-01-28 00:09:27,-42.8794,147.3294,63.0,51,75,10.36
184,Saint-Augustin,CA,2021-01-28 00:06:42,51.226,-58.6502,13.19,93,39,9.73
185,Shubarshi,KZ,2021-01-28 00:18:58,48.5872,57.1869,9.97,93,0,10.58
186,Ngunguru,NZ,2021-01-28 00:18:59,-35.6167,174.5,71.71,69,18,3.27
187,Udachnyy,RU,2021-01-28 00:18:35,66.4167,112.4,-40.05,79,7,1.81
188,Port Elizabeth,ZA,2021-01-28 00:09:52,-33.918,25.5701,62.6,82,0,4.61
189,Kibara,TZ,2021-01-28 00:19:00,-2.15,33.45,70.02,75,0,9.48
190,North Bend,US,2021-01-28 00:19:00,43.4065,-124.2243,46.0,87,90,15.43
191,Rio Grande,BR,2021-01-28 00:10:42,-32.035,-52.0986,71.01,96,100,8.16
192,High Level,CA,2021-01-28 00:19:01,58.5169,-117.136,-9.4,77,20,6.91
193,Ahipara,NZ,2021-01-28 00:05:42,-35.1667,173.1667,72.82,64,61,8.43
194,Dingle,PH,2021-01-28 00:11:12,10.9995,122.6711,78.06,86,100,8.5
195,Tarancon,ES,2021-01-28 00:19:01,40.0085,-3.0073,53.01,100,75,3.98
