City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Ternate,ID,81.12,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
375,Bubaque,GW,76.98,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
376,Iralaya,HN,78.8,scattered clouds,15.0,-83.2333,Iglesia morava renovada
380,Antalaha,MG,83.35,light rain,-14.9003,50.2788,Hotel Vitasoa
385,Ladybrand,ZA,82.49,overcast clouds,-29.1945,27.4574,Accommodation @ Top House Bed and Breakfast
388,Acarau,BR,87.8,broken clouds,-2.8856,-40.12,castelo pizzaria
395,Cockburn Town,TC,76.32,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
396,Dondo,MZ,89.6,few clouds,-19.6094,34.7431,Arco Iris
402,Mindelo,CV,77.0,few clouds,16.8901,-24.9804,Hotel Gaudi
403,Mitsamiouli,KM,84.36,overcast clouds,-11.3847,43.2844,Foyer ADM
407,Lichtenburg,ZA,75.13,light rain,-26.151999999999997,26.1597,Kennzy Guest House
411,San Policarpo,PH,80.19,overcast clouds,12.1791,125.5072,JM Lodge
421,Sisophon,KH,81.1,overcast clouds,13.5859,102.9737,Pyramid Hotel
425,Ngong,KE,82.4,broken clouds,-1.3618,36.6566,PEC House
426,Saint-Georges,GD,78.8,broken clouds,12.0564,-61.7485,Siesta Hotel
428,Lima Duarte,BR,77.0,clear sky,-21.8425,-43.7931,Lima Duarte MG
431,Sinnamary,GF,78.84,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
433,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
434,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
438,Geraldton,AU,82.4,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
439,Eyl,SO,76.96,broken clouds,7.9803,49.8164,Amiin Hotel
442,Daru,PG,76.86,heavy intensity rain,-9.0763,143.2092,Daru Lodge
444,Ginir,ET,76.37,clear sky,7.1333,40.7,Sura Dare Village
446,Klaeng,TH,79.0,scattered clouds,12.7797,101.6483,Damrongcheep in Resort
447,Sao Filipe,CV,77.56,clear sky,14.8961,-24.4956,Tortuga B&B
452,Umm Lajj,SA,78.22,clear sky,25.0213,37.2685,Moon light Furnished Units
456,Saint-Joseph,RE,86.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
460,Amudat,UG,88.54,overcast clouds,1.95,34.95,Silent Night Hotel
462,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
475,Kaoma,ZM,76.64,light rain,-14.7833,24.8,KAOMA AIRPORT
476,Iquitos,PE,75.2,light intensity drizzle,-3.7481,-73.2472,Cortez Malaga Techy Caroly
478,Mineiros,BR,81.19,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
481,Bandarbeyla,SO,75.15,scattered clouds,9.4942,50.8122,JABIR HOTEL
486,Huambo,AO,78.8,broken clouds,-12.7761,15.7392,SiSHotel
490,Labuhan,ID,79.74,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
494,Upata,VE,81.0,broken clouds,8.0086,-62.3989,Posada Villa Nela
500,Namibe,AO,78.37,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
505,Yanam,IN,78.8,mist,16.7333,82.2167,The Regency Hotel
511,Bilma,NE,83.08,clear sky,18.6853,12.9164,Expeditions Ténére voyages
514,Jacmel,HT,82.4,few clouds,18.2342,-72.5347,Hotel Florita
